ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12529077,2018 Toyota Landcruiser Workmate (4X4) VDJ79R MY18,74990,Toyota,Landcruiser,Workmate (4X4),VDJ79R MY18,2018,117722,Cab Chassis,Manual,Diesel, Used,4461,White,3
12529374,2017 Ford Ranger XL 3.2 (4X4) PX Mkii MY17,37975,Ford,Ranger,XL 3.2 (4X4),PX Mkii MY17,2017,134612,Cab Chassis,Automatic,Diesel, Used,3198,White,2
12531076,2018 Holden Colorado LS-X Special Edition RG MY18,49999,Holden,Colorado,LS-X Special Edition,RG MY18,2018,46034,Crew Cab Utility,Automatic,Diesel, Used,2776,White,5
12536654,2018 Mitsubishi Outlander ES 5 Seat (awd) ZL MY18.5,31990,Mitsubishi,Outlander,ES 5 Seat (awd),ZL MY18.5,2018,68718,Wagon,Automatic,Unleaded Petrol, Used,2360,White,5
12537491,2011 Kia Sportage SI (fwd) SL,12990,Kia,Sportage,SI (fwd),SL,2011,192784,Wagon,Automatic,Unleaded Petrol, Used,1998,Silver,5
12537802,2012 Toyota Kluger KX-R (fwd) 5 Seat GSU40R MY11 Upgrade,17990,Toyota,Kluger,KX-R (fwd) 5 Seat,GSU40R MY11 Upgrade,2012,182372,Wagon,Automatic,Unleaded Petrol, Used,3456,Grey,5
12544469,2018 Skoda Octavia RS245 NE MY18,42880,Skoda,Octavia,RS245,NE MY18,2018,52907,Wagon,Automatic,Premium Unleaded Petrol, Used,1984,White,5
12545918,2018 Toyota Landcruiser Workmate (4X4) VDJ79R MY18,81990,Toyota,Landcruiser,Workmate (4X4),VDJ79R MY18,2018,108293,Double Cab Chassis,Manual,Diesel, Used,4461,White,5
12557383,2016 Holden Colorado LS-X (4X4) RG MY16,34990,Holden,Colorado,LS-X (4X4),RG MY16,2016,97826,Crew Cab Pickup,Automatic,Diesel, Used,2776,Silver,5
12562714,2012 Ford Ranger XL 3.2 (4X4) PX,23990,Ford,Ranger,XL 3.2 (4X4),PX,2012,193733,Cab Chassis,Manual,Diesel, Used,3198,White,2
12563015,2017 Mitsubishi Pajero Sport GLS (4X4) 7 Seat MY17,42888,Mitsubishi,Pajero Sport,GLS (4X4) 7 Seat,MY17,2017,69081,Wagon,Automatic,Diesel, Used,2442,White,7
12563560,2014 Ford Ranger XL 3.2 (4X4) PX,29990,Ford,Ranger,XL 3.2 (4X4),PX,2014,210604,Super Cab Chassis,Manual,Diesel, Used,3198,White,4
12565963,2018 Nissan X-Trail TI (4WD) T32 Series 2,37800,Nissan,X-Trail,TI (4WD),T32 Series 2,2018,71266,Wagon,Automatic,Unleaded Petrol, Used,2488,Black,5
12574189,2018 BMW 430I M Sport F33 MY17,59990,BMW,430I,M Sport,F33 MY17,2018,85596,Convertible,Automatic,Premium Unleaded Petrol, Used,1998,Grey,4
12574238,2015 Volkswagen Golf R AU MY15,38999,Volkswagen,Golf,R,AU MY15,2015,92822,Hatchback,Manual,Premium Unleaded Petrol, Used,1984,Blue,5
12574243,2014 Renault Clio RS 200 Sport X98,18999,Renault,Clio,RS 200 Sport,X98,2014,104327,Hatchback,Automatic,Premium Unleaded Petrol, Used,1618,White,5
12576018,2020 Toyota Landcruiser LC200 VX (4X4) VDJ200R,119985,Toyota,Landcruiser,LC200 VX (4X4),VDJ200R,2020,50943,Wagon,Automatic,Diesel, Used,4461,White,7
12577149,2012 Nissan Navara ST (4X4) D40,19990,Nissan,Navara,ST (4X4),D40,2012,196564,Dual Cab Pick-up,Automatic,Diesel, Used,2488,White,5
12577352,2014 Audi Q5 3.0 TDI Quattro 8R MY14,35850,Audi,Q5,3.0 TDI Quattro,8R MY14,2014,65498,Wagon,Automatic,Diesel, Used,2967,White,5
12589141,2015 Nissan Navara RX (4X4) NP300 D23,30990,Nissan,Navara,RX (4X4),NP300 D23,2015,117341,Double Cab Utility,Automatic,Diesel, Used,2298,White,5
12594364,2022 Nissan Navara SL (4X4) D23 MY21.5,66888,Nissan,Navara,SL (4X4),D23 MY21.5,2022,894,Dual Cab Pick-up,Manual,Diesel, Demo,2298,White,5
12594410,2012 Porsche Cayenne S Series 2 MY12,49990,Porsche,Cayenne,S,Series 2 MY12,2012,175584,Wagon,Automatic,Premium Unleaded Petrol, Used,4806,Black,5
12597077,2021 Toyota Landcruiser 70 Series GXL VDJ79R,169990,Toyota,Landcruiser 70 Series,GXL,VDJ79R,2021,1008,Double Cab Chassis,Manual,Diesel, Used,4461,Blue,5
12602872,2013 Toyota Hilux SR5 (4X4) KUN26R MY14,32499,Toyota,Hilux,SR5 (4X4),KUN26R MY14,2013,226139,Dual Cab Pick-up,Automatic,Diesel, Used,2982,White,5
12613034,2017 Toyota Corolla Ascent ZRE182R MY15,20990,Toyota,Corolla,Ascent,ZRE182R MY15,2017,128142,Hatchback,Automatic,Unleaded Petrol, Used,1798,White,5
12613287,2018 Toyota Landcruiser Workmate (4X4) VDJ79R MY18,79990,Toyota,Landcruiser,Workmate (4X4),VDJ79R MY18,2018,85460,Cab Chassis,Manual,Diesel, Used,4461,White,3
12620063,2009 Nissan Patrol TI (4X4) GU VI,27999,Nissan,Patrol,TI (4X4),GU VI,2009,250464,Wagon,Automatic,Diesel, Used,2953,White,7
12620066,2013 Mitsubishi Pajero GLX-R LWB (4X4) NW MY14,27999,Mitsubishi,Pajero,GLX-R LWB (4X4),NW MY14,2013,226986,Wagon,Automatic,Diesel, Used,3200,Gold,7
12621216,2021 Toyota Hilux Rogue (4X4) GUN126R Facelift,83990,Toyota,Hilux,Rogue (4X4),GUN126R Facelift,2021,3646,Double Cab Pick Up,Automatic,Diesel, Used,2753,Silver,5
12628582,2022 Mazda CX-8 GT (fwd) CX8D,60999,Mazda,CX-8,GT (fwd),CX8D,2022,2001,Wagon,Automatic,Unleaded Petrol, Demo,2488,Grey,7
12631067,2006 Nissan Patrol ST (4X4) GU IV,48999,Nissan,Patrol,ST (4X4),GU IV,2006,292100,Wagon,Manual,Diesel, Used,4169,Silver,7
12631219,2009 Jeep Wrangler Sport (4X4) JK MY08,20990,Jeep,Wrangler,Sport (4X4),JK MY08,2009,166850,Softtop,Manual,Unleaded Petrol, Used,3778,Red,4
12631768,2015 Kia Carnival SLI YP MY15,32998,Kia,Carnival,SLI,YP MY15,2015,163177,Wagon,Automatic,Unleaded Petrol, Used,3342,Black,8
12633579,2017 Holden Trailblazer LTZ (4X4) RG MY17,33990,Holden,Trailblazer,LTZ (4X4),RG MY17,2017,146930,Wagon,Automatic,Diesel, Used,2776,White,7
12634121,2012 Nissan X-Trail ST-L (4X4) T31 MY11,12990,Nissan,X-Trail,ST-L (4X4),T31 MY11,2012,206877,Wagon,Automatic,Unleaded Petrol, Used,2488,White,5
12636809,2019 Hyundai I30 Active PD2 MY20,22980,Hyundai,I30,Active,PD2 MY20,2019,45040,Hatchback,Automatic,Unleaded Petrol, Used,1999,Silver,5
12637483,2010 Porsche Boxster Spyder 987 MY11,129900,Porsche,Boxster,Spyder,987 MY11,2010,66147,Roadster,Automatic,Premium Unleaded Petrol, Used,3436,Black,2
12644713,2016 Volkswagen Multivan Highline TDI450 T6 MY16,59990,Volkswagen,Multivan,Highline TDI450,T6 MY16,2016,116213,Wagon,Automatic,Diesel, Used,1968,White,7
12646867,2022 Toyota Hilux Workmate (4X2) TGN121R,31990,Toyota,Hilux,Workmate (4X2),TGN121R,2022,16324,Cab Chassis,Automatic,Unleaded Petrol, Used,2694,White,2
12647010,2021 Mitsubishi Pajero Sport Exceed (4X4) 7 Seat QF MY21,65880,Mitsubishi,Pajero Sport,Exceed (4X4) 7 Seat,QF MY21,2021,10345,Wagon,Automatic,Diesel, Used,2442,Grey,7
12648490,2014 Ford Ranger XLS 2.2 (4X4) PX,28990,Ford,Ranger,XLS 2.2 (4X4),PX,2014,97889,Crew Cab Utility,Manual,Diesel, Used,2198,White,5
12650689,2016 Ford Transit Custom 330L (lwb) VN MY16.00,38990,Ford,Transit Custom,330L (lwb),VN MY16.00,2016,32612,Van,Manual,Diesel, Used,2198,White,2
12652381,2021 Toyota Hilux Rugged X (4X4) GUN126R,85000,Toyota,Hilux,Rugged X (4X4),GUN126R,2021,12000,Double Cab Pick Up,Automatic,Diesel, New In Stock,2753,White,5
12653754,2017 Isuzu D-MAX SX HI-Ride (4X2) TF MY17,24880,Isuzu,D-MAX,SX HI-Ride (4X2),TF MY17,2017,113016,Cab Chassis,Automatic,Diesel, Used,2999,White,2
12656584,2012 Honda Civic VTI-L Series 2,14999,Honda,Civic,VTI-L,Series 2,2012,71530,Sedan,Automatic,Unleaded Petrol, Used,1798,Black,5
12657267,2013 Kia Grand Carnival SLI VQ MY14,15990,Kia,Grand Carnival,SLI,VQ MY14,2013,200739,Wagon,Automatic,Unleaded Petrol, Used,3470,Grey,8
12658279,2017 Nissan Navara ST-X (4X4) (sunroof) D23 Series II,38990,Nissan,Navara,ST-X (4X4) (sunroof),D23 Series II,2017,114202,Dual Cab Utility,Manual,Diesel, Used,2298,Grey,5
12660816,2016 Ford Everest Trend UA,45981,Ford,Everest,Trend,UA,2016,79867,Wagon,Automatic,Diesel, Used,3198,White,7
12662362,2017 Toyota Aurion AT-X GSV50R MY16,19999,Toyota,Aurion,AT-X,GSV50R MY16,2017,168910,Sedan,Automatic,Unleaded Petrol, Used,3456,White,5
12662608,2015 Ford Falcon G6E Turbo FG X,44880,Ford,Falcon,G6E Turbo,FG X,2015,73669,Sedan,Automatic,Unleaded Petrol, Used,3984,Grey,5
12664047,2016 Toyota Hilux Workmate GUN122R,37975,Toyota,Hilux,Workmate,GUN122R,2016,47355,Cab Chassis,Manual,Diesel, Used,2393,White,2
12667166,2017 Subaru Forester 2.5I-L MY17,27990,Subaru,Forester,2.5I-L,MY17,2017,110778,Wagon,Automatic,Unleaded Petrol, Used,2498,White,5
12668458,2019 Kia Carnival S YP PE MY20,41990,Kia,Carnival,S,YP PE MY20,2019,42779,Wagon,Automatic,Unleaded Petrol, Used,3342,Grey,8
12669846,2022 Nissan Navara SL (4X2) D23 MY21.5,41888,Nissan,Navara,SL (4X2),D23 MY21.5,2022,2000,Dual Cab Pick-up,Manual,Diesel, Demo,2298,White,5
12670312,2018 Toyota Hilux SR5 (4X4) GUN126R MY17,59990,Toyota,Hilux,SR5 (4X4),GUN126R MY17,2018,52479,Dual Cab Utility,Automatic,Diesel, Used,2753,White,5
12674429,2013 Ssangyong Stavic SPR 2.7 XDI A100 08 Upgrade,10990,Ssangyong,Stavic,SPR 2.7 XDI,A100 08 Upgrade,2013,263542,Wagon,Automatic,Diesel, Used,2696,Silver,7
12675012,2016 Audi S7 Sportback 4.0 Tfsi 4G MY17,83888,Audi,S7,Sportback 4.0 Tfsi,4G MY17,2016,42983,Hatchback,Automatic,Premium Unleaded Petrol, Used,3993,Silver,4
12675520,2006 Nissan Navara ST-X (4X4) D40,14999,Nissan,Navara,ST-X (4X4),D40,2006,323317,Dual Cab Pick-up,Manual,Diesel, Used,2488,White,5
12676280,2016 Isuzu MU-X LS-U (4X4) UC MY15.5,38990,Isuzu,MU-X,LS-U (4X4),UC MY15.5,2016,111296,Wagon,Manual,Diesel, Used,2999,White,7
12677391,2022 Nissan Navara SL Warrior (4X4) D23 MY21.5,64490,Nissan,Navara,SL Warrior (4X4),D23 MY21.5,2022,1452,Dual Cab Pick-up,Automatic,Diesel, Demo,2298,Grey,5
12677779,2017 Toyota Corolla Hybrid ZWE186R MY16,31990,Toyota,Corolla,Hybrid,ZWE186R MY16,2017,35359,Hatchback,Automatic,Premium Unleaded/Electric, Used,1798,White,5
12678997,2007 Holden Commodore SS-V VE,26980,Holden,Commodore,SS-V,VE,2007,178515,Sedan,Automatic,Premium Unleaded Petrol, Used,5967,Green,5
12679111,2019 Volkswagen Tiguan 132 TSI R-Line Edition 5NA MY19,45981,Volkswagen,Tiguan,132 TSI R-Line Edition,5NA MY19,2019,61363,Wagon,Automatic,Premium Unleaded Petrol, Used,1984,Black,5
12680408,2014 BMW 220D Sport Line F22,27990,BMW,220D,Sport Line,F22,2014,77744,Coupe,Automatic,Diesel, Used,1995,White,4
12680749,2017 Toyota Kluger GXL (4X2) GSU50R MY17,36480,Toyota,Kluger,GXL (4X2),GSU50R MY17,2017,136010,Wagon,Automatic,Unleaded Petrol, Used,3456,Blue,7
12682299,2008 BMW X3 3.0SI E83 MY07,12990,BMW,X3,3.0SI,E83 MY07,2008,92000,Wagon,Automatic,Premium Unleaded Petrol, Used,2979,Grey,5
12682458,2022 Nissan Navara SL Warrior (4X4) D23 MY21.5,64500,Nissan,Navara,SL Warrior (4X4),D23 MY21.5,2022,3382,Dual Cab Pick-up,Automatic,Diesel, Demo,2298,Grey,5
12682526,2005 Holden Rodeo LX (4X4) RA MY05.5 Upgrade,15980,Holden,Rodeo,LX (4X4),RA MY05.5 Upgrade,2005,196891,Crew Cab Pickup,Manual,Diesel, Used,2999,White,5
12682677,2005 BMW 320I Executive E90,10980,BMW,320I,Executive,E90,2005,159832,Sedan,Automatic,Unleaded Petrol, Used,1995,Grey,5
12682931,2019 Volvo XC40 T5 R-Design (awd) 536 MY19,52990,Volvo,XC40,T5 R-Design (awd),536 MY19,2019,42146,Wagon,Automatic,Premium Unleaded Petrol, Used,1969,Blue,5
12683052,2013 Nissan Navara ST-X (4X4) D40 MY12,18990,Nissan,Navara,ST-X (4X4),D40 MY12,2013,198171,King Cab Pickup,Automatic,Diesel, Used,2488,White,2
12683112,2022 Mazda CX-9 Azami (awd) LE CX9M,76999,Mazda,CX-9,Azami (awd) LE,CX9M,2022,2001,Wagon,Automatic,Unleaded Petrol, Demo,2488,Grey,7
12684146,2012 Hyundai I45 Premium YF MY11,14999,Hyundai,I45,Premium,YF MY11,2012,117702,Sedan,Automatic,Unleaded Petrol, Used,2359,White,5
12684297,2013 Ford Falcon XR6 FG MK2,29980,Ford,Falcon,XR6,FG MK2,2013,84124,Utility,Automatic,Unleaded Petrol, Used,3984,White,2
12684647,2020 Toyota Hilux SR HI-Rider GUN136R Facelift,47990,Toyota,Hilux,SR HI-Rider,GUN136R Facelift,2020,28501,Double Cab Pick Up,Automatic,Diesel, Used,2753,White,5
12684845,2017 Mercedes-Benz Sprinter 319CDI MWB 906 MY14,41490,Mercedes-Benz,Sprinter,319CDI MWB,906 MY14,2017,192424,Van,Automatic,Diesel, Used,2987,White,2
12685045,2012 Lexus RX350 Luxury GGL15R MY12,24980,Lexus,RX350,Luxury,GGL15R MY12,2012,140364,Wagon,Automatic,Premium Unleaded Petrol, Used,3456,Grey,5
12687172,2011 Mercedes-Benz Viano 3.0 CDI 639 MY11,28950,Mercedes-Benz,Viano,3.0 CDI,639 MY11,2011,151072,Wagon,Automatic,Diesel, Used,2987,Silver,7
12687277,2014 Holden Calais V VF,21990,Holden,Calais,V,VF,2014,161048,Sedan,Automatic,Unleaded Petrol, Used,3565,White,5
12687308,2012 Jeep Grand Cherokee Overland (4X4) WK,31990,Jeep,Grand Cherokee,Overland (4X4),WK,2012,150996,Wagon,Automatic,Premium Unleaded Petrol, Used,5654,Red,5
12687514,2013 Toyota Hilux Workmate TGN16R MY12,20990,Toyota,Hilux,Workmate,TGN16R MY12,2013,207000,Dual Cab Pick-up,Automatic,Unleaded Petrol, Used,2694,White,5
12687598,2012 Land Rover Discovery 4 3.0 TDV6 MY13,48900,Land Rover,Discovery 4,3.0 TDV6,MY13,2012,178423,Wagon,Automatic,Diesel, Used,2993,Fuji,5
12687640,2012 Mitsubishi Lancer ES CJ MY12,10000,Mitsubishi,Lancer,ES,CJ MY12,2012,252000,Sedan,Manual,Unleaded Petrol, Used,1998,White,5
12687649,2012 Jeep Compass Sport (4X2) MK MY12,13995,Jeep,Compass,Sport (4X2),MK MY12,2012,126976,Wagon,Automatic,Premium Unleaded Petrol, Used,1998,Silver,5
12687680,2010 Subaru Forester X (satnav) MY10,21990,Subaru,Forester,X (satnav),MY10,2010,85936,Wagon,Automatic,Unleaded Petrol, Used,2457,White,5
12687761,2014 Mazda CX-5 Maxx (4X2) MY13 Upgrade,20990,Mazda,CX-5,Maxx (4X2),MY13 Upgrade,2014,83130,Wagon,Manual,Unleaded Petrol, Used,1997,Grey,5
12687826,2015 Mitsubishi Triton GLS (4X4) MQ MY16,38990,Mitsubishi,Triton,GLS (4X4),MQ MY16,2015,76086,Dual Cab Utility,Manual,Diesel, Used,2440,Blue,5
12687909,2017 Volkswagen Amarok TDI400 Core Plus (4X4) 2H MY17,35995,Volkswagen,Amarok,TDI400 Core Plus (4X4),2H MY17,2017,92217,Dual Cab Utility,Manual,Diesel, Used,1968,White,5
12687957,2015 Mitsubishi Triton Exceed (4X4) MQ MY16,29880,Mitsubishi,Triton,Exceed (4X4),MQ MY16,2015,265691,Dual Cab Utility,Automatic,Diesel, Used,2440,Blue,5
12687959,2013 Jeep Compass Limited (4X4) MK MY12,14880,Jeep,Compass,Limited (4X4),MK MY12,2013,118441,Wagon,Automatic,Premium Unleaded Petrol, Used,2359,Grey,5
12687963,2021 Hyundai I30 N Premium With Sunroof CN7.V1 MY22,55990,Hyundai,I30,N Premium With Sunroof,CN7.V1 MY22,2021,9236,Sedan,Manual,Premium Unleaded Petrol, Used,1998,Grey,5
12688077,2018 Toyota Hilux SR (4X4) GUN126R MY17,35990,Toyota,Hilux,SR (4X4),GUN126R MY17,2018,289991,Dual Cab Chassis,Manual,Diesel, Used,2753,Silver,5
12688104,2022 Audi Q2 35 Tfsi 3Y MY22,60114,Audi,Q2,35 Tfsi,3Y MY22,2022,1254,Wagon,Automatic,Premium Unleaded Petrol, Demo,1498,Silver,5
12688166,2016 Mercedes-Benz GLA45 4Matic X156 MY16,61800,Mercedes-Benz,GLA45,4Matic,X156 MY16,2016,33147,Wagon,Automatic,Premium Unleaded Petrol, Used,1991,Silver,5
12688237,2011 Toyota Rukus Build 3 AZE151R,16996,Toyota,Rukus,Build 3,AZE151R,2011,115857,Wagon,Automatic,Unleaded Petrol, Used,2362,Black,5
12688245,2021 MG HS Core SAS23 MY21,27990,MG,HS,Core,SAS23 MY21,2021,18280,Wagon,Automatic,Unleaded Petrol, Used,1490,White,5
12688261,2019 Mitsubishi Triton GLX Plus (4X4) MR MY19,48990,Mitsubishi,Triton,GLX Plus (4X4),MR MY19,2019,45280,Club Cab Pickup,Automatic,Diesel, Used,2440,Black,4
12688268,2013 Jeep Wrangler Renegade Sport (4X4) JK MY13,28990,Jeep,Wrangler,Renegade Sport (4X4),JK MY13,2013,124836,Hardtop,Automatic,Unleaded Petrol, Used,3604,Silver,4
12688276,2019 Ford Ranger Raptor 2.0 (4X4) PX Mkiii MY19,75400,Ford,Ranger,Raptor 2.0 (4X4),PX Mkiii MY19,2019,56170,Double Cab Pick Up,Automatic,Diesel, Used,1996,White,5
12688308,2016 Hyundai Tucson Active X (fwd) TL,25981,Hyundai,Tucson,Active X (fwd),TL,2016,83572,Wagon,Automatic,Unleaded Petrol, Used,1999,Blue,5
12688317,2009 Ford Falcon G6 FG,7444,Ford,Falcon,G6,FG,2009,221130,Sedan,Automatic,Unleaded Petrol, Used,3984,Gold,5
12688339,2017 Land Rover Discovery Sport TD4 150 SE 5 Seat LC MY17,31990,Land Rover,Discovery Sport,TD4 150 SE 5 Seat,LC MY17,2017,129763,Wagon,Automatic,Diesel, Used,1999,White,5
12688363,2017 Toyota Corolla Ascent ZRE172R,22990,Toyota,Corolla,Ascent,ZRE172R,2017,64900,Sedan,Automatic,Unleaded Petrol, Used,1798,White,5
12688417,2016 Mitsubishi Outlander LS (4X2) ZK MY16,19500,Mitsubishi,Outlander,LS (4X2),ZK MY16,2016,180000,Wagon,Manual,Unleaded Petrol, Used,1998,Black,5
12688437,2019 Volkswagen Amarok V6 TDI 550 Sportline 2H MY19,34913,Volkswagen,Amarok,V6 TDI 550 Sportline,2H MY19,2019,202699,Dual Cab Utility,Automatic,Diesel, Used,2967,Silver,5
12688489,2019 Honda Civic VTI-LX MY18,34000,Honda,Civic,VTI-LX,MY18,2019,43000,Sedan,Automatic,Unleaded Petrol, Used,1498,Grey,5
12688497,2018 Suzuki Vitara RT-S LY,26000,Suzuki,Vitara,RT-S,LY,2018,92000,Wagon,Automatic,Unleaded Petrol, Used,1586,White,5
12688502,2019 Toyota RAV4 GXL 2WD Hybrid Axah52R,50990,Toyota,RAV4,GXL 2WD Hybrid,Axah52R,2019,17400,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Metallic,5
12688520,2006 Honda Civic VTI 40,4500,Honda,Civic,VTI,40,2006,229200,Sedan,Automatic,Unleaded Petrol, Used,1799,Silver,5
12688529,2016 Hyundai Tucson Active X (fwd) TL,25000,Hyundai,Tucson,Active X (fwd),TL,2016,114000,Wagon,Automatic,Unleaded Petrol, Used,1999,White,5
12688531,2012 Mazda 3 SP25 BL 11 Upgrade,14888,Mazda,3,SP25,BL 11 Upgrade,2012,158000,Hatchback,Automatic,Unleaded Petrol, Used,2488,Grey,5
12688533,2018 Mazda CX-5 Maxx Sport (4X2) MY18 (KF Series 2),34000,Mazda,CX-5,Maxx Sport (4X2),MY18 (KF Series 2),2018,23000,Wagon,Automatic,Unleaded Petrol, Used,1997,Gun,5
12688637,2018 Renault Koleos Initiale (4X4) XZG MY18,34490,Renault,Koleos,Initiale (4X4),XZG MY18,2018,29760,Wagon,Automatic,Premium Unleaded Petrol, Used,2488,White,5
12688638,2016 Mazda BT-50 XTR (4X2) MY16,35490,Mazda,BT-50,XTR (4X2),MY16,2016,60848,Dual Cab Utility,Automatic,Diesel, Used,3196,Grey,5
12688675,2007 Audi A4 2.0 TDI Avant B7,9000,Audi,A4,2.0 TDI Avant,B7,2007,240000,Wagon,Automatic,Diesel, Used,1968,Silver,5
